Week,Day,Platform,Content Type,Topic/Theme,Caption Draft,CTA,Status,Notes
1,Monday,Facebook,Educational,Loan program spotlight,See social-post-templates.md #1,Call/text Derek,Idea,Rotate: FHA / VA / USDA / Conventional / Jumbo / DPA
1,Wednesday,Instagram,Local/Lifestyle,Maine town/market feature,See social-post-templates.md #2,Comment your town,Idea,Highlight a different Maine town each week
1,Friday,Facebook+Instagram,Client Story/Win,Closing celebration,See social-post-templates.md #3,Refer a friend,Idea,Use real client (with permission) or generic win
2,Monday,LinkedIn,Professional/Partner,Realtor shoutout or market stat,See social-post-templates.md #4,Tag a partner,Idea,Build referral partner visibility
2,Wednesday,Instagram Reel/TikTok,Educational Video,Myth-busting (60 sec),See social-post-templates.md #5,DM me your question,Idea,Rotate myths weekly
2,Friday,Facebook,Community,Local event/sponsorship,See events-community/event-ideas.md,Come say hi,Idea,
3,Monday,Facebook,Educational,Rate/market update,See social-post-templates.md #6,Schedule a free review,Idea,Keep compliant - no rate quotes without disclosures
3,Wednesday,Instagram,Behind-the-scenes,Day in the life,See social-post-templates.md #7,Follow along,Idea,Humanize your brand
3,Friday,Facebook+Instagram,Client Story/Win,Closing celebration,See social-post-templates.md #3,Refer a friend,Idea,
4,Monday,LinkedIn,Professional,Newsletter recap/blog link,See email-newsletter-templates.md,Subscribe,Idea,Cross-promote newsletter
4,Wednesday,Instagram Reel/TikTok,Educational Video,Process explainer,See social-post-templates.md #8,Save this post,Idea,
4,Friday,Facebook,Holiday/Seasonal,Seasonal homeowner tip,See social-post-templates.md #9,Tag a homeowner friend,Idea,Tie to season (heating, storm prep, etc.)
